x	y	psi	u	v	p
0.015625	0.835938	-0.000320	-0.000990	0.040303	-0.003018
0.015625	0.843750	-0.000329	-0.001385	0.041327	-0.003242
0.015625	0.851563	-0.000342	-0.001860	0.042732	-0.003519
0.015625	0.859375	-0.000358	-0.002436	0.044593	-0.003867
0.015625	0.867188	-0.000380	-0.003137	0.047000	-0.004310
0.015625	0.875000	-0.000407	-0.003997	0.050065	-0.004878
0.015625	0.882813	-0.000442	-0.005056	0.053925	-0.005613
0.015625	0.890625	-0.000486	-0.006369	0.058747	-0.006571
0.015625	0.898438	-0.000542	-0.008008	0.064740	-0.007831
0.015625	0.906250	-0.000611	-0.010068	0.072158	-0.009499
0.015625	0.914063	-0.000699	-0.012685	0.081316	-0.011723
0.015625	0.921875	-0.000809	-0.016056	0.092604	-0.014716
0.015625	0.929688	-0.000950	-0.020474	0.106497	-0.018780
0.015625	0.937500	-0.001129	-0.026403	0.123567	-0.024362
0.015625	0.945313	-0.001362	-0.034577	0.144452	-0.032126
0.015625	0.953125	-0.001670	-0.046136	0.169700	-0.043069
0.015625	0.960938	-0.002083	-0.062545	0.199197	-0.058646
0.015625	0.968750	-0.002647	-0.083996	0.230316	-0.080691
0.015625	0.976563	-0.003396	-0.099973	0.252354	-0.110189
0.015625	0.984375	-0.004209	-0.049341	0.232670	-0.141244
0.015625	0.992188	-0.004167	0.269374	0.108121	-0.117827
0.015625	1.000000	-0.000000	1.000000	0.000000	-0.079969
0.023438	0.000000	0.000000	0.000000	0.000000	0.035411
0.023438	0.007813	0.000000	0.000099	-0.000034	0.035405
0.023438	0.015625	0.000002	0.000166	-0.000107	0.035400
0.023438	0.023438	0.000003	0.000198	-0.000198	0.035404
0.023438	0.031250	0.000005	0.000199	-0.000290	0.035418
0.023438	0.039063	0.000006	0.000173	-0.000370	0.035442
0.023438	0.046875	0.000007	0.000125	-0.000423	0.035474
0.023438	0.054688	0.000008	0.000058	-0.000440	0.035516
0.023438	0.062500	0.000008	-0.000024	-0.000411	0.035566
0.023438	0.070313	0.000007	-0.000119	-0.000327	0.035623
0.023438	0.078125	0.000006	-0.000224	-0.000182	0.035686
0.023438	0.085938	0.000004	-0.000338	0.000030	0.035754
0.023438	0.093750	0.000001	-0.000460	0.000315	0.035827
0.023438	0.101563	-0.000003	-0.000589	0.000677	0.035902
0.023438	0.109375	-0.000008	-0.000724	0.001119	0.035979
0.023438	0.117188	-0.000015	-0.000865	0.001646	0.036057
0.023438	0.125000	-0.000022	-0.001010	0.002261	0.036133
0.023438	0.132813	-0.000031	-0.001159	0.002965	0.036208
0.023438	0.140625	-0.000040	-0.001311	0.003761	0.036278
0.023438	0.148438	-0.000051	-0.001466	0.004650	0.036342
0.023438	0.156250	-0.000063	-0.001622	0.005634	0.036400
0.023438	0.164063	-0.000076	-0.001780	0.006713	0.036448
0.023438	0.171875	-0.000090	-0.001937	0.007888	0.036486
0.023438	0.179688	-0.000107	-0.002095	0.009158	0.036512
0.023438	0.187500	-0.000123	-0.002251	0.010522	0.036523
0.023438	0.195313	-0.000142	-0.002404	0.011980	0.036518
0.023438	0.203125	-0.000161	-0.002555	0.013530	0.036496
0.023438	0.210938	-0.000182	-0.002702	0.015169	0.036453
0.023438	0.218750	-0.000203	-0.002845	0.016895	0.036389
0.023438	0.226563	-0.000226	-0.002981	0.018705	0.036302
0.023438	0.234375	-0.000250	-0.003112	0.020595	0.036190
0.023438	0.242188	-0.000275	-0.003235	0.022561	0.036051
0.023438	0.250000	-0.000300	-0.003350	0.024598	0.035883
0.023438	0.257813	-0.000327	-0.003456	0.026702	0.035687
0.023438	0.265625	-0.000354	-0.003553	0.028866	0.035458
0.023438	0.273438	-0.000383	-0.003639	0.031086	0.035198
0.023438	0.281250	-0.000411	-0.003715	0.033354	0.034905
0.023438	0.289063	-0.000441	-0.003779	0.035665	0.034577
0.023438	0.296875	-0.000470	-0.003831	0.038011	0.034214
0.023438	0.304688	-0.000501	-0.003871	0.040385	0.033815
0.023438	0.312500	-0.000530	-0.003897	0.042779	0.033381
0.023438	0.320313	-0.000561	-0.003911	0.045187	0.032911
0.023438	0.328125	-0.000592	-0.003911	0.047600	0.032405
0.023438	0.335938	-0.000623	-0.003897	0.050011	0.031864
0.023438	0.343750	-0.000652	-0.003870	0.052411	0.031287
0.023438	0.351563	-0.000683	-0.003829	0.054793	0.030676
0.023438	0.359375	-0.000712	-0.003775	0.057148	0.030032
0.023438	0.367188	-0.000742	-0.003707	0.059469	0.029356
0.023438	0.375000	-0.000770	-0.003625	0.061747	0.028649
0.023438	0.382813	-0.000799	-0.003531	0.063976	0.027912
0.023438	0.390625	-0.000825	-0.003425	0.066147	0.027149
0.023438	0.398438	-0.000852	-0.003306	0.068254	0.026359
0.023438	0.406250	-0.000877	-0.003177	0.070289	0.025546
0.023438	0.414063	-0.000902	-0.003036	0.072246	0.024712
0.023438	0.421875	-0.000924	-0.002885	0.074118	0.023860
0.023438	0.429688	-0.000947	-0.002724	0.075900	0.022991
